format,construct,timing_class,membership,metric,weighting,pairs,families,mean,positive_fraction,largest_family_share,se,df,lower,upper,inference
casual_discussion,policy,immediate,available,d_combined,pairs,0,0,NA,NA,NA,NA,NA,NA,NA,no eligible pairs
casual_discussion,policy,immediate,available,d_combined,equal_family_event,0,0,NA,NA,NA,NA,NA,NA,NA,no eligible pairs
casual_discussion,policy,immediate,available,d_education,pairs,0,0,NA,NA,NA,NA,NA,NA,NA,no eligible pairs
casual_discussion,policy,immediate,available,d_education,equal_family_event,0,0,NA,NA,NA,NA,NA,NA,NA,no eligible pairs
casual_discussion,policy,immediate,available,d_gender,pairs,0,0,NA,NA,NA,NA,NA,NA,NA,no eligible pairs
casual_discussion,policy,immediate,available,d_gender,equal_family_event,0,0,NA,NA,NA,NA,NA,NA,NA,no eligible pairs
casual_discussion,policy,immediate,available,d_income,pairs,0,0,NA,NA,NA,NA,NA,NA,NA,no eligible pairs
casual_discussion,policy,immediate,available,d_income,equal_family_event,0,0,NA,NA,NA,NA,NA,NA,NA,no eligible pairs
casual_discussion,policy,immediate,available,h,pairs,1,1,0,0,1,NA,NA,NA,NA,fewer than two independent families
casual_discussion,policy,immediate,available,h,equal_family_event,1,1,0,0,1,NA,NA,NA,NA,fewer than two independent families
casual_discussion,policy,immediate,available,p,pairs,0,0,NA,NA,NA,NA,NA,NA,NA,no eligible pairs
casual_discussion,policy,immediate,available,p,equal_family_event,0,0,NA,NA,NA,NA,NA,NA,NA,no eligible pairs
casual_discussion,policy,immediate,available,p_absolute,pairs,1,1,1,1,1,NA,NA,NA,NA,fewer than two independent families
casual_discussion,policy,immediate,available,p_absolute,equal_family_event,1,1,1,1,1,NA,NA,NA,NA,fewer than two independent families
casual_discussion,policy,immediate,paired,d_combined,pairs,0,0,NA,NA,NA,NA,NA,NA,NA,no eligible pairs
casual_discussion,policy,immediate,paired,d_combined,equal_family_event,0,0,NA,NA,NA,NA,NA,NA,NA,no eligible pairs
casual_discussion,policy,immediate,paired,d_education,pairs,0,0,NA,NA,NA,NA,NA,NA,NA,no eligible pairs
casual_discussion,policy,immediate,paired,d_education,equal_family_event,0,0,NA,NA,NA,NA,NA,NA,NA,no eligible pairs
casual_discussion,policy,immediate,paired,d_gender,pairs,0,0,NA,NA,NA,NA,NA,NA,NA,no eligible pairs
casual_discussion,policy,immediate,paired,d_gender,equal_family_event,0,0,NA,NA,NA,NA,NA,NA,NA,no eligible pairs
casual_discussion,policy,immediate,paired,d_income,pairs,0,0,NA,NA,NA,NA,NA,NA,NA,no eligible pairs
casual_discussion,policy,immediate,paired,d_income,equal_family_event,0,0,NA,NA,NA,NA,NA,NA,NA,no eligible pairs
casual_discussion,policy,immediate,paired,h,pairs,1,1,0,0,1,NA,NA,NA,NA,fewer than two independent families
casual_discussion,policy,immediate,paired,h,equal_family_event,1,1,0,0,1,NA,NA,NA,NA,fewer than two independent families
casual_discussion,policy,immediate,paired,p,pairs,0,0,NA,NA,NA,NA,NA,NA,NA,no eligible pairs
casual_discussion,policy,immediate,paired,p,equal_family_event,0,0,NA,NA,NA,NA,NA,NA,NA,no eligible pairs
casual_discussion,policy,immediate,paired,p_absolute,pairs,1,1,1,1,1,NA,NA,NA,NA,fewer than two independent families
casual_discussion,policy,immediate,paired,p_absolute,equal_family_event,1,1,1,1,1,NA,NA,NA,NA,fewer than two independent families
classroom_discussion,policy,immediate,available,d_combined,pairs,0,0,NA,NA,NA,NA,NA,NA,NA,no eligible pairs
classroom_discussion,policy,immediate,available,d_combined,equal_family_event,0,0,NA,NA,NA,NA,NA,NA,NA,no eligible pairs
classroom_discussion,policy,immediate,available,d_education,pairs,0,0,NA,NA,NA,NA,NA,NA,NA,no eligible pairs
classroom_discussion,policy,immediate,available,d_education,equal_family_event,0,0,NA,NA,NA,NA,NA,NA,NA,no eligible pairs
classroom_discussion,policy,immediate,available,d_gender,pairs,41,1,0.34146341463414637,0.34146341463414637,1,NA,NA,NA,NA,fewer than two independent families
classroom_discussion,policy,immediate,available,d_gender,equal_family_event,41,1,0.3414634146341462,0.3414634146341462,1,NA,NA,NA,NA,fewer than two independent families
classroom_discussion,policy,immediate,available,d_income,pairs,0,0,NA,NA,NA,NA,NA,NA,NA,no eligible pairs
classroom_discussion,policy,immediate,available,d_income,equal_family_event,0,0,NA,NA,NA,NA,NA,NA,NA,no eligible pairs
classroom_discussion,policy,immediate,available,h,pairs,56,1,0.5535714285714286,0.5535714285714286,1,NA,NA,NA,NA,fewer than two independent families
